name,style,path,old_style,new_style
MeshRemodel,unknown,/Users/ksloan/github/FreeCAD-addons/MeshRemodel,False,False
NavigationIndicator,unknown,/Users/ksloan/github/FreeCAD-addons/NavigationIndicator,False,False
SearchBar,unknown,/Users/ksloan/github/FreeCAD-addons/SearchBar,False,False
free2ki,unknown,/Users/ksloan/github/FreeCAD-addons/free2ki,False,False
pyrate,unknown,/Users/ksloan/github/FreeCAD-addons/pyrate,False,False
Trails,unknown,/Users/ksloan/github/FreeCAD-addons/Trails,False,False
OpticsWorkbench,unknown,/Users/ksloan/github/FreeCAD-addons/OpticsWorkbench,False,False
ThreadProfile,unknown,/Users/ksloan/github/FreeCAD-addons/ThreadProfile,False,False
PieMenu,unknown,/Users/ksloan/github/FreeCAD-addons/PieMenu,False,False
yaml-workspace,unknown,/Users/ksloan/github/FreeCAD-addons/yaml-workspace,False,False
Reporting,unknown,/Users/ksloan/github/FreeCAD-addons/Reporting,False,False
FreeCAD-Beginner-Assistant,unknown,/Users/ksloan/github/FreeCAD-addons/FreeCAD-Beginner-Assistant,False,False
Reinforcement,unknown,/Users/ksloan/github/FreeCAD-addons/Reinforcement,False,False
Documentation,unknown,/Users/ksloan/github/FreeCAD-addons/Documentation,False,False
osh-autodoc-workbench,unknown,/Users/ksloan/github/FreeCAD-addons/osh-autodoc-workbench,False,False
slic3r-tools,unknown,/Users/ksloan/github/FreeCAD-addons/slic3r-tools,False,False
Launcher,unknown,/Users/ksloan/github/FreeCAD-addons/Launcher,False,False
dodo,unknown,/Users/ksloan/github/FreeCAD-addons/dodo,False,False
ImportNURBS,unknown,/Users/ksloan/github/FreeCAD-addons/ImportNURBS,False,False
drawing_dimensioning,unknown,/Users/ksloan/github/FreeCAD-addons/drawing_dimensioning,False,False
DynamicData,unknown,/Users/ksloan/github/FreeCAD-addons/DynamicData,False,False
Plot,unknown,/Users/ksloan/github/FreeCAD-addons/Plot,False,False
3DfindIT,unknown,/Users/ksloan/github/FreeCAD-addons/3DfindIT,False,False
workfeature-macro,unknown,/Users/ksloan/github/FreeCAD-addons/workfeature-macro,False,False
Part-o-magic,unknown,/Users/ksloan/github/FreeCAD-addons/Part-o-magic,False,False
Nodes,unknown,/Users/ksloan/github/FreeCAD-addons/Nodes,False,False
dxf_library,unknown,/Users/ksloan/github/FreeCAD-addons/dxf_library,False,False
CommandPanel,unknown,/Users/ksloan/github/FreeCAD-addons/CommandPanel,False,False
retr3d,unknown,/Users/ksloan/github/FreeCAD-addons/retr3d,False,False
freecad.gears,unknown,/Users/ksloan/github/FreeCAD-addons/freecad.gears,False,False
SlopedPlanesMacro,unknown,/Users/ksloan/github/FreeCAD-addons/SlopedPlanesMacro,False,False
InventorLoader,unknown,/Users/ksloan/github/FreeCAD-addons/InventorLoader,False,False
parts_library,unknown,/Users/ksloan/github/FreeCAD-addons/parts_library,False,False
cadquery_module,unknown,/Users/ksloan/github/FreeCAD-addons/cadquery_module,False,False
FeedsAndSpeeds,unknown,/Users/ksloan/github/FreeCAD-addons/FeedsAndSpeeds,False,False
pivy_trackers,unknown,/Users/ksloan/github/FreeCAD-addons/pivy_trackers,False,False
Woodworking,unknown,/Users/ksloan/github/FreeCAD-addons/Woodworking,False,False
EM,unknown,/Users/ksloan/github/FreeCAD-addons/EM,False,False
AnimationFreeCAD,unknown,/Users/ksloan/github/FreeCAD-addons/AnimationFreeCAD,False,False
FreeGrid,unknown,/Users/ksloan/github/FreeCAD-addons/FreeGrid,False,False
Render,unknown,/Users/ksloan/github/FreeCAD-addons/Render,False,False
CfdOF,unknown,/Users/ksloan/github/FreeCAD-addons/CfdOF,False,False
animation,unknown,/Users/ksloan/github/FreeCAD-addons/animation,False,False
WebTools,unknown,/Users/ksloan/github/FreeCAD-addons/WebTools,False,False
symbols_library,unknown,/Users/ksloan/github/FreeCAD-addons/symbols_library,False,False
workfeature,unknown,/Users/ksloan/github/FreeCAD-addons/workfeature,False,False
TabBar,unknown,/Users/ksloan/github/FreeCAD-addons/TabBar,False,False
ArchTextures,unknown,/Users/ksloan/github/FreeCAD-addons/ArchTextures,False,False
frame,unknown,/Users/ksloan/github/FreeCAD-addons/frame,False,False
cura_engine,unknown,/Users/ksloan/github/FreeCAD-addons/cura_engine,False,False
RemBench,unknown,/Users/ksloan/github/FreeCAD-addons/RemBench,False,False
STEMFIE,unknown,/Users/ksloan/github/FreeCAD-addons/STEMFIE,False,False
Silk,unknown,/Users/ksloan/github/FreeCAD-addons/Silk,False,False
Defeaturing,unknown,/Users/ksloan/github/FreeCAD-addons/Defeaturing,False,False
pcb,unknown,/Users/ksloan/github/FreeCAD-addons/pcb,False,False
Glass,unknown,/Users/ksloan/github/FreeCAD-addons/Glass,False,False
kerkythea,unknown,/Users/ksloan/github/FreeCAD-addons/kerkythea,False,False
GDT,unknown,/Users/ksloan/github/FreeCAD-addons/GDT,False,False
ExtMan,unknown,/Users/ksloan/github/FreeCAD-addons/ExtMan,False,False
Pyramids-and-Polyhedrons,unknown,/Users/ksloan/github/FreeCAD-addons/Pyramids-and-Polyhedrons,False,False
freecad-wakatime,unknown,/Users/ksloan/github/FreeCAD-addons/freecad-wakatime,False,False
FEMbyGEN,unknown,/Users/ksloan/github/FreeCAD-addons/FEMbyGEN,False,False
freecad_streamdeck_addon,unknown,/Users/ksloan/github/FreeCAD-addons/freecad_streamdeck_addon,False,False
icons,unknown,/Users/ksloan/github/FreeCAD-addons/icons,False,False
Assembly2MuJoCo,unknown,/Users/ksloan/github/FreeCAD-addons/Assembly2MuJoCo,False,False
CADExchanger,unknown,/Users/ksloan/github/FreeCAD-addons/CADExchanger,False,False
GDML,unknown,/Users/ksloan/github/FreeCAD-addons/GDML,False,False
.github,unknown,/Users/ksloan/github/FreeCAD-addons/.github,False,False
ShortCuts,unknown,/Users/ksloan/github/FreeCAD-addons/ShortCuts,False,False
offline-documentation,unknown,/Users/ksloan/github/FreeCAD-addons/offline-documentation,False,False
nurbs,unknown,/Users/ksloan/github/FreeCAD-addons/nurbs,False,False
SelectorToolbar,unknown,/Users/ksloan/github/FreeCAD-addons/SelectorToolbar,False,False
timber,unknown,/Users/ksloan/github/FreeCAD-addons/timber,False,False
Quetzal,unknown,/Users/ksloan/github/FreeCAD-addons/Quetzal,False,False
persistenttoolbars,unknown,/Users/ksloan/github/FreeCAD-addons/persistenttoolbars,False,False
A2plus,unknown,/Users/ksloan/github/FreeCAD-addons/A2plus,False,False
Manipulator,unknown,/Users/ksloan/github/FreeCAD-addons/Manipulator,False,False
BIM,unknown,/Users/ksloan/github/FreeCAD-addons/BIM,False,False
IconThemes,unknown,/Users/ksloan/github/FreeCAD-addons/IconThemes,False,False
kicadStepUpMod,unknown,/Users/ksloan/github/FreeCAD-addons/kicadStepUpMod,False,False
fasteners,unknown,/Users/ksloan/github/FreeCAD-addons/fasteners,False,False
Lithophane,unknown,/Users/ksloan/github/FreeCAD-addons/Lithophane,False,False
reconstruction,unknown,/Users/ksloan/github/FreeCAD-addons/reconstruction,False,False
Autoload,unknown,/Users/ksloan/github/FreeCAD-addons/Autoload,False,False
AirPlaneDesign,unknown,/Users/ksloan/github/FreeCAD-addons/AirPlaneDesign,False,False
MnesarcoUtils,unknown,/Users/ksloan/github/FreeCAD-addons/MnesarcoUtils,False,False
ModernUI,unknown,/Users/ksloan/github/FreeCAD-addons/ModernUI,False,False
lattice2,unknown,/Users/ksloan/github/FreeCAD-addons/lattice2,False,False
Rocket,unknown,/Users/ksloan/github/FreeCAD-addons/Rocket,False,False
Estimate,unknown,/Users/ksloan/github/FreeCAD-addons/Estimate,False,False
Design456,unknown,/Users/ksloan/github/FreeCAD-addons/Design456,False,False
CurvedShapes,unknown,/Users/ksloan/github/FreeCAD-addons/CurvedShapes,False,False
Ship,unknown,/Users/ksloan/github/FreeCAD-addons/Ship,False,False
SteelColumn,unknown,/Users/ksloan/github/FreeCAD-addons/SteelColumn,False,False
.git,unknown,/Users/ksloan/github/FreeCAD-addons/.git,False,False
sheetmetal,unknown,/Users/ksloan/github/FreeCAD-addons/sheetmetal,False,False
MOOC,unknown,/Users/ksloan/github/FreeCAD-addons/MOOC,False,False
BCFPlugin,unknown,/Users/ksloan/github/FreeCAD-addons/BCFPlugin,False,False
ose-piping,unknown,/Users/ksloan/github/FreeCAD-addons/ose-piping,False,False
SvgWorkbench,unknown,/Users/ksloan/github/FreeCAD-addons/SvgWorkbench,False,False
POV-Ray-Rendering,unknown,/Users/ksloan/github/FreeCAD-addons/POV-Ray-Rendering,False,False
CubeMenu,unknown,/Users/ksloan/github/FreeCAD-addons/CubeMenu,False,False
flamingo,unknown,/Users/ksloan/github/FreeCAD-addons/flamingo,False,False
Marz,unknown,/Users/ksloan/github/FreeCAD-addons/Marz,False,False
